"","y","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"318",-52.8454,0.6489,0.5288,2.3059,2.7375,0.3594,0.2555,0.128,1.2446,-0.4246,0.352,18.22,18.87,112.1076,846.9629,0.0975,0.1117,0.113,0.0795,0.1807,0.0566,1.0592,0.5896,2.6516,0.6125,1.1916,0.8717,0.3979,2.1286,-0.6637,1.1908
"280",-33.1388,-0.1814,0.1435,1.7293,2.2082,-1.1502,-0.5258,-0.225,0.8052,-0.1695,-1.1568,13.85,15.18,73.4091,555.0193,0.0952,0.0769,0.0448,0.0371,0.211,0.0585,-0.7304,0.374,2.2568,0.6563,-1.4755,-0.8874,0.2064,1.8001,-0.3732,-1.4762
"100",-74.8826,0.5305,-0.0711,0.0991,4.4808,2.1605,0.1846,-0.4851,-0.8487,1.9894,2.1546,14.42,19.77,93.939,630.4435,0.0975,0.1141,0.0939,0.0584,0.1879,0.0639,0.6916,-0.0526,-0.5087,4.2085,3.0777,0.5309,-0.2505,-0.9784,3.1417,3.0771
"363",-63.4842,0.8281,-0.3699,1.1158,3.7804,0.0897,0.4991,-0.7876,0.2243,1.5939,0.0835,12.76,18.84,92.4292,418.7367,0.0968,0.0795,0.0269,0.0178,0.1759,0.0618,0.9434,-0.8152,1.1179,4.0806,0.0383,0.795,-1.0084,0.6791,3.1165,0.0376
"443",-30.9906,1.2565,0.4424,1.1718,2.1801,-0.9844,0.9112,0.0553,0.2417,-0.203,-0.9899,13.78,15.79,83.9677,617.4695,0.0882,0.0672,0.0106,0.0099,0.1405,0.0585,2.0316,0.392,0.7093,1.2573,-0.9443,1.875,0.2193,0.2536,0.2275,-0.9448
"130",-141.1465,0.1626,1.468,0.0393,4.0084,-0.5208,-0.2424,1.0172,-1.0687,0.6028,-0.5279,19.79,25.12,131.6258,1407.4063,0.1015,0.1589,0.2545,0.1149,0.2202,0.0611,-6e-04,1.6929,-0.595,2.4388,-0.2386,-0.1974,1.4664,-1.1406,1.0905,-0.2394
"399",-32.113,0.9011,-0.3353,1.5646,1.1602,-0.6834,0.5904,-0.7039,0.7346,-0.7454,-0.6863,11.06,14.83,59.6385,271.772,0.0774,0.0477,0.0271,0.0072,0.1535,0.0621,0.9646,-0.2307,1.7998,0.1481,-1.0292,0.8297,-0.3961,1.3928,-0.7162,-1.0295
"409",-65.3767,-0.3956,0.4249,-0.3891,1.8117,-0.7452,-0.7837,0.005,-1.4447,-1.2928,-0.7528,17.99,20.66,129.5764,1031.645,0.1036,0.1304,0.1201,0.0882,0.1992,0.0607,-0.892,0.4929,-1.4217,-0.314,-0.7392,-1.0777,0.2899,-1.9427,-1.5731,-0.74
"32",-58.4466,1.3254,0.8242,1.0302,2.3899,-0.0761,1.0202,0.4267,0.1702,0.3388,-0.0815,11.84,18.7,91.8861,325.0544,0.1109,0.1516,0.1218,0.0518,0.2301,0.078,2.5515,1.1213,1.5176,1.8487,0.3917,2.4119,0.9308,1.09,0.9307,0.3911
"307",-40.9226,-0.9001,-0.3858,1.1159,2.0063,1.051,-1.2405,-0.7797,0.2047,-0.2713,1.0461,13.2,15.82,72.9978,533.6268,0.0851,0.0525,0.0015,0.0033,0.1632,0.0589,-1.3752,-0.1143,0.7998,0.7122,1.8957,-1.5276,-0.2874,0.355,-0.2827,1.8952
"271",-48.7227,0.2204,0.1829,1.5617,3.9883,0.567,-0.1413,-0.2187,0.6193,1.512,0.5649,14.29,16.82,77.0908,643.1314,0.0643,0.0268,0.0072,0.0062,0.1508,0.0538,0.243,0.0055,1.5357,3.5815,0.979,0.0817,-0.1745,1.0752,2.5206,0.9788
"373",10.5218,-0.7363,0.5407,1.4187,4.8708,-0.6627,-1.1597,0.1961,0.2654,1.1923,-0.6695,21.37,15.1,139.1908,1437.4585,0.1001,0.1515,0.1932,0.1255,0.1973,0.0618,-2.0647,0.0873,0.9952,3.1249,-0.1997,-2.2714,-0.0769,0.4292,1.6988,-0.2005
"178",-73.2763,0.5448,1.1695,0.6515,2.7765,-0.004,0.1786,0.7634,-0.3642,-0.0671,-0.0102,16.46,20.11,99.0043,889.3083,0.0983,0.1556,0.1793,0.0887,0.1794,0.0632,0.8851,1.6228,-0.1546,1.3852,0.0305,0.7104,1.4243,-0.6575,0.2062,0.0298
"369",-14.6136,0.2913,0.9916,0.0072,4.7971,0.9832,-0.1453,0.6104,-1.1507,0.9066,0.975,21.71,17.25,143.9079,1552.514,0.0938,0.0856,0.1168,0.0846,0.1717,0.0505,0.111,1.3246,-0.351,3.0657,1.3298,-0.099,1.1437,-0.917,1.5809,1.329
"30",-7.4663,0.576,2.1837,-0.8287,2.0268,0.2684,0.1908,1.8272,-1.8729,-1.0219,0.2618,17.57,15.05,128.5808,1160.5967,0.0985,0.1157,0.0988,0.0795,0.1739,0.0615,0.6062,3.4025,-1.7534,-0.2777,0.5086,0.4231,3.2368,-2.2687,-1.5196,0.5078
"82",-34.0611,-2.083,-1.6652,1.6849,1.5856,-0.5999,-2.4091,-2.0292,0.7813,-0.6507,-0.6065,13.34,15.86,95.591,609.8157,0.1078,0.1535,0.1169,0.0699,0.1942,0.069,-3.5055,-2.2634,2.2965,-0.1159,0.0013,-3.6571,-2.4345,1.8467,-1.0974,5e-04
"462",-119.5767,0.5343,2.2038,0.1468,3.9579,-0.6828,0.0552,1.7516,-1.1792,-0.9977,-0.692,27.42,26.27,186.6473,2566.1076,0.1084,0.1988,0.3635,0.1689,0.2061,0.0562,-0.0999,2.888,-0.9482,0.5616,-0.6319,-0.3399,2.6573,-1.589,-1.2031,-0.6329
"436",-76.5278,-0.5533,-1.1608,0.0498,0.3882,-0.4004,-0.8935,-1.5701,-0.8794,-2.0194,-0.4073,13.98,19.62,101.2649,780.8765,0.106,0.1133,0.1126,0.0646,0.1669,0.0654,-1.5265,-2.3068,-0.4629,-1.7367,0.2719,-1.6838,-2.5034,-0.9243,-2.7754,0.2711
"67",-110.094,0.712,-1.1228,0.3994,0.3394,2.0138,0.4322,-1.5664,-0.3637,-1.2605,2.0078,9.465,21.01,44.79,325.7159,0.1044,0.0777,0.0217,0.015,0.1717,0.069,0.9216,-1.7318,-0.1706,-0.323,3.2335,0.8014,-1.9388,-0.5462,-1.0734,3.2329
"423",-39.7503,-1.6606,0.9263,0.9368,2.5192,-1.0648,-1.9671,0.5527,0.0893,0.5423,-1.0726,11.61,16.02,84.9611,347.6287,0.1088,0.1168,0.071,0.045,0.1886,0.0632,-2.486,0.9725,1.032,1.7094,-1.561,-2.6243,0.7993,0.6111,0.8185,-1.5619
"337",-14.2399,-2.0525,0.34,0.4291,0.2932,0.2075,-2.3813,-0.0179,-0.4734,-1.9339,0.2036,12.99,14.23,78.6665,672.9223,0.0946,0.0996,0.0374,0.021,0.1652,0.0724,-3.0067,0.0436,-0.1357,-1.4015,0.034,-3.1565,-0.1171,-0.5802,-2.3793,0.0336
"202",-59.0003,-0.0239,-0.9614,1.7674,3.7205,0.841,-0.4081,-1.3687,0.7219,0.6745,0.8345,17.54,19.32,123.2175,882.0923,0.0897,0.1198,0.1036,0.0749,0.1506,0.0549,-0.3417,-1.1465,2.118,2.5408,1.7373,-0.5245,-1.3414,1.6024,1.3002,1.7366
"132",-65.7113,0.3406,2.3732,2.3993,4.1672,-0.3824,-0.0177,1.9701,1.4193,1.4746,-0.3914,15.46,19.48,96.9726,834.3741,0.1092,0.1223,0.1466,0.0809,0.1931,0.058,0.3166,3.4543,2.8252,3.3425,0.0491,0.1485,3.2593,2.339,2.2107,0.0481
"144",-36.3063,1.475,-0.0417,-0.6033,3.155,1.7393,1.1467,-0.4186,-1.5008,0.9339,1.7348,12.9,15.92,81.1859,453.2971,0.0868,0.0951,0.0489,0.0309,0.1778,0.0624,1.8534,-0.3071,-1.6739,3.0278,2.2626,1.7042,-0.48,-2.1174,2.0518,2.2621
"146",-26.4955,0.512,-0.1462,-1.1766,0.7052,0.7964,0.203,-0.5097,-2.0431,-1.3305,0.7905,11.9,14.65,69.9728,335.7353,0.1152,0.1296,0.0371,0.03,0.1995,0.0784,0.2814,-0.2502,-2.3501,-0.9869,1.4286,0.141,-0.414,-2.7786,-1.8989,1.4279
"426",-109.7912,1.1696,-0.396,1.3789,1.6952,2.1521,0.8727,-0.8524,0.5912,-0.0174,2.149,10.03,21.28,64.0244,368.9361,0.0812,0.0391,0.0025,0.0052,0.163,0.0644,1.8007,-0.9857,1.4382,0.3194,3.7393,1.6746,-1.1948,1.0526,-0.4738,3.739
"38",-73.1075,0.4455,1.139,-0.0923,3.811,-0.8064,0.1039,0.7258,-0.9841,1.5606,-0.8122,13.03,18.42,68.8236,555.461,0.0898,0.0377,0.0256,0.0292,0.1467,0.0586,0.3582,1.6074,-0.3793,3.6882,-0.9601,0.2069,1.4169,-0.8199,2.7029,-0.9607
"464",-61.3725,0.9602,0.1945,0.9888,1.6335,0.2273,0.6438,-0.2157,0.1426,-0.3591,0.2223,11.6,18.36,80.2518,431.6364,0.0851,0.0586,0.0337,0.0178,0.1516,0.0586,1.1705,-0.1775,0.8247,0.4317,0.7757,1.0311,-0.3674,0.4077,-0.4638,0.7752
"147",-47.6326,1.3223,1.8225,2.5544,1.7479,-0.5542,1.02,1.4561,1.6929,-0.2789,-0.56,11.8,16.58,91.6593,568.7327,0.1091,0.17,0.1659,0.0741,0.2678,0.0737,2.2342,1.9056,3.1458,0.3944,-0.088,2.0953,1.7302,2.7158,-0.5157,-0.0887
"362",-104.2046,0.7008,0.1226,1.398,3.4147,-0.2946,0.3613,-0.3235,0.4903,1.1204,-0.3,13.3,21.57,77.2958,435.822,0.0858,0.0637,0.0334,0.0242,0.1815,0.057,1.1662,-0.3917,0.9649,3.1173,-0.287,1.0132,-0.602,0.5175,2.1163,-0.2876
"22",-11.3459,-0.0277,1.4987,1.0343,3.6544,-1.8881,-0.3105,1.1631,0.2719,2.042,-1.8938,9.504,12.44,65.4684,286.376,0.1024,0.0649,0.0296,0.0208,0.1815,0.069,0.5022,2.129,0.4657,4.0124,-2.3785,0.3814,1.9822,0.0894,3.257,-2.3791
"8",-101.258,0.8935,1.8578,0.453,2.656,-1.0331,0.5638,1.432,-0.4723,0.2989,-1.0403,13.71,20.83,81.3869,735.6908,0.1189,0.1645,0.0937,0.0598,0.2196,0.0745,0.8361,2.2503,-0.1102,1.6394,-1.0613,0.6818,2.0458,-0.5695,0.6166,-1.0621
"518",-57.5525,0.2228,0.429,0.185,5.0717,2.0643,-0.187,0.0165,-0.9267,1.6299,2.057,19.89,20.26,130.9303,1122.9672,0.1037,0.131,0.1411,0.0943,0.1802,0.0619,0.3722,0.4528,-0.1198,4.0137,3.7329,0.1743,0.2527,-0.6661,2.6554,3.7321
"435",-44.6307,1.1956,0.5681,0.9513,2.1219,2.7472,0.8367,0.1748,-0.0059,-0.434,2.7412,14.86,16.94,75.7878,732.5421,0.0892,0.0707,0.0335,0.0288,0.1573,0.057,1.6025,0.5348,0.4508,0.9711,4.2601,1.4378,0.3544,-0.0205,-0.116,4.2595
"170",-30.016,-0.0326,2.0961,-0.2252,2.8497,0.6423,-0.3914,1.7006,-1.1867,0.273,0.6346,14.97,16.95,111.5598,630.5019,0.0986,0.0788,0.026,0.0378,0.178,0.0565,0.0188,3.3973,-0.6975,1.7482,0.964,-0.1466,3.2168,-1.1717,0.6539,0.9632
"352",-68.1415,1.6872,-1.191,1.085,2.0844,1.0617,1.339,-1.5755,0.0854,-0.6211,1.054,15.75,19.22,104.7375,679.3213,0.1243,0.2364,0.2914,0.1242,0.2375,0.076,2.4257,-1.6564,0.8067,0.5365,1.373,2.2576,-1.847,0.3093,-0.6,1.3721
"397",-72.1788,1.6948,0.1432,2.0364,2.8091,-1.0227,1.3611,-0.2621,1.1209,0.4892,-1.0306,13.51,18.89,73.9976,556.4344,0.1059,0.1147,0.0858,0.0538,0.1806,0.0608,1.8853,-0.3985,2.314,1.7752,-1.0891,1.7316,-0.5909,1.8598,0.7656,-1.09
"327",-5.5916,-0.5321,0.2027,0.3129,3.9277,0.9108,-0.8847,-0.1429,-0.6194,1.4818,0.9042,14.11,12.88,78.5688,666.4648,0.0931,0.0531,0.0176,0.0273,0.1373,0.057,-0.6548,0.1611,-0.4332,3.2288,1.9551,-0.8142,0.0105,-0.8927,2.1782,1.9544
"11",-109.3667,1.1158,1.0594,0.8554,2.9538,0.4409,0.7414,0.5955,-0.1398,0.1683,0.4361,16.02,23.24,114.1148,576.1124,0.0821,0.0667,0.033,0.0332,0.1528,0.057,1.6712,1.6954,0.7614,2.0151,1.2135,1.4979,1.4753,0.2721,0.8549,1.2131
"270",-95.5547,0.6623,0.67,1.3348,3.6494,0.3068,0.371,0.2475,0.5181,1.8331,0.3001,10.71,20.39,73.4001,296.194,0.1082,0.1289,0.0845,0.0287,0.1668,0.0686,1.0861,0.9802,1.4965,3.5146,0.5082,0.9558,0.7782,1.0923,2.6826,0.5074
"472",-205.5334,0.8212,-0.547,0.1613,3.3003,-0.3296,0.4987,-1.062,-0.6999,1.2222,-0.3353,12.04,28.14,82.8305,288.5711,0.0875,0.06,0.0237,0.0238,0.1854,0.057,1.0464,-1.0829,-0.0153,2.7912,-0.2963,0.9035,-1.3299,-0.4404,1.8645,-0.2969
"60",-23.7705,-0.2026,0.3426,2.3027,2.2867,-2.0103,-0.4732,0.0135,1.5744,0.8294,-2.0147,8.618,11.79,61.7725,227.7631,0.0975,0.0527,0.0206,0.0078,0.1683,0.0719,-0.4418,0.4778,2.7447,1.9968,-2.3959,-0.5544,0.3361,2.3882,1.3027,-2.3964
"129",-30.9108,1.9605,-0.3231,0.3488,1.1736,-1.0221,1.6144,-0.6942,-0.6199,-1.3788,-1.0306,15.1,16.39,97.6496,611.2653,0.115,0.1807,0.1138,0.0853,0.2001,0.0647,2.7321,-0.778,0.0123,-0.8125,-0.5876,2.5677,-0.953,-0.4689,-1.8994,-0.5886
"311",-84.1751,-0.2017,0.7497,1.3962,2.5055,-0.927,-0.5208,0.3251,0.5448,0.5033,-0.9319,11.7,19.11,77.0804,402.8358,0.0881,0.0525,0.0158,0.0115,0.1936,0.0613,-0.7266,0.7801,2.03,1.7454,-1.0482,-0.8668,0.5849,1.6115,0.8454,-1.0487
"115",-58.662,1.468,0.8842,0.0956,0.6572,-2.5289,1.2012,0.5067,-0.6378,-0.8218,-2.5352,8.726,15.83,48.5896,288.0351,0.115,0.082,0.0413,0.0192,0.1649,0.0763,2.0831,1.4554,-0.6536,-0.1574,-3.1803,1.97,1.283,-1.0151,-0.8601,-3.181
"491",-112.4573,-0.2909,0.7485,1.3287,2.5085,-1.2429,-0.6181,0.2879,0.4557,0.388,-1.247,12.25,22.44,85.6305,274.8781,0.0819,0.052,0.0171,0.0126,0.1544,0.0598,-0.8861,1.4736,1.5174,2.0704,-1.6536,-1.031,1.2579,1.0883,1.1296,-1.654
"263",-91.7651,2.3578,-0.6799,1.6657,2.6197,-0.048,1.9777,-1.1192,0.6235,-0.413,-0.0546,17.29,22.13,119.3771,1001.41,0.09,0.1273,0.097,0.0751,0.2108,0.0546,3.6411,-1.32,2.0723,0.8693,0.3349,3.4602,-1.5323,1.5582,-0.3684,0.3343
"346",-39.6536,0.0259,0.5204,0.6449,2.3639,0.6346,-0.2642,0.1558,-0.1545,0.611,0.6296,10.26,14.71,73.0965,368.7052,0.0988,0.0916,0.0358,0.0204,0.1633,0.07,-0.023,0.7999,0.2167,1.9368,0.8686,-0.1501,0.6356,-0.1778,1.1285,0.8681
